Name,Team,POS,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Alejandro Kirk,TOR,C,107,446,389,107,20,1,14,54,56,46,55,1,0,0.274,0.353,0.433,0.786
Jackson Merrill,SDP,OF,134,586,539,145,27,6,23,76,77,39,113,7,3,0.269,0.322,0.466,0.788
Corey Seager,TEX,SS,116,515,461,127,24,1,25,72,75,56,83,3,1,0.276,0.359,0.499,0.858
Trea Turner,PHI,SS,132,609,560,157,23,4,18,86,65,40,110,26,5,0.28,0.332,0.442,0.774
Kyle Tucker,LAD,OF,125,562,478,129,22,2,27,90,78,76,85,18,4,0.269,0.371,0.496,0.867
Bo Bichette,NYM,SS,132,585,539,155,27,3,18,73,74,38,95,6,2,0.288,0.337,0.449,0.786
Geraldo Perdomo,ARI,SS,126,562,487,131,23,5,12,77,55,68,74,19,5,0.27,0.365,0.411,0.776
Junior Caminero,TBR,3B,119,522,480,130,22,1,32,71,88,36,101,5,2,0.271,0.324,0.526,0.85
Alex Bregman,CHC,3B,142,638,553,144,32,2,23,85,77,67,89,3,1,0.26,0.345,0.439,0.784
Masyn Winn,STL,SS,147,629,578,151,22,5,16,72,69,45,107,12,4,0.261,0.319,0.405,0.724
Zach Neto,LAA,SS,133,599,539,136,24,3,26,83,69,41,143,27,7,0.252,0.32,0.456,0.776
Maikel Garcia,KCR,2B,138,620,558,154,23,4,13,82,62,53,90,26,6,0.276,0.339,0.418,0.757
Matt Olson,ATL,1B,146,639,561,146,29,1,33,90,93,68,165,3,1,0.26,0.35,0.493,0.843
Pete Alonso,BAL,1B,143,615,540,139,24,1,36,87,94,65,143,3,1,0.257,0.348,0.504,0.852
Freddie Freeman,LAD,1B,143,636,559,165,35,3,24,94,87,68,119,12,4,0.295,0.378,0.472,0.85
Bryce Harper,PHI,1B,137,607,510,146,32,2,31,93,91,86,140,10,3,0.286,0.396,0.516,0.912
Rafael Devers,SFG,1B,143,630,561,155,35,2,32,91,96,60,136,5,2,0.276,0.352,0.518,0.87
Willy Adames,SFG,SS,144,618,548,142,29,2,28,84,86,58,158,8,3,0.259,0.336,0.471,0.807
Manny Machado,SDP,3B,141,613,549,149,28,2,30,85,91,55,115,5,2,0.271,0.341,0.482,0.823
Austin Riley,ATL,3B,146,630,571,155,32,2,34,88,98,51,162,2,1,0.271,0.339,0.506,0.845
Pete Crow-Armstrong,CHC,OF,138,578,532,140,24,8,18,80,72,38,135,38,9,0.263,0.308,0.42,0.728
James Wood,WSH,OF,135,595,521,145,27,5,28,92,85,65,175,18,5,0.278,0.365,0.51,0.875
Jarren Duran,BOS,OF,138,609,557,164,35,7,15,95,73,43,132,34,8,0.294,0.347,0.443,0.79
Cody Bellinger,NYY,OF,135,578,520,145,28,3,24,82,78,48,128,14,4,0.279,0.338,0.474,0.812
Riley Greene,DET,OF,138,605,540,156,31,4,24,88,82,55,158,10,4,0.289,0.357,0.461,0.818
Adolis Garcia,PHI,OF,144,618,570,148,28,3,32,87,98,38,195,18,6,0.26,0.308,0.467,0.775
Randy Arozarena,SEA,OF,142,595,524,138,27,4,24,82,85,60,155,22,7,0.263,0.348,0.45,0.798
Kyle Schwarber,PHI,OF,140,590,485,115,20,2,42,95,98,95,185,3,2,0.237,0.372,0.512,0.884
Nick Kurtz,ATH,1B,138,590,495,135,26,2,32,88,92,85,145,2,1,0.273,0.39,0.51,0.9
Wyatt Langford,TEX,OF,136,585,520,148,30,4,26,90,88,55,140,18,5,0.285,0.351,0.492,0.843
Jackson Chourio,MIL,OF,140,595,555,160,32,6,22,88,82,32,125,28,7,0.288,0.328,0.458,0.786
Roman Anthony,BOS,OF,138,585,515,152,28,5,20,88,78,60,120,22,6,0.295,0.368,0.452,0.82
Brent Rooker,ATH,OF,135,575,505,135,26,2,34,84,92,60,185,5,2,0.267,0.355,0.51,0.865
Michael Harris II,ATL,OF,132,560,525,152,28,6,18,78,75,28,145,28,6,0.29,0.321,0.452,0.773
Jazz Chisholm Jr.,NYY,2B,128,545,500,135,25,6,22,78,75,38,155,28,7,0.27,0.328,0.468,0.796
Brice Turang,MIL,2B,142,590,535,148,26,6,12,82,65,45,105,32,8,0.277,0.335,0.4,0.735
Nico Hoerner,CHC,2B,140,595,545,158,25,4,8,78,62,40,85,28,7,0.29,0.345,0.385,0.73
Ozzie Albies,ATL,2B,138,600,555,160,35,4,22,88,82,38,105,15,5,0.288,0.34,0.47,0.81
Marcus Semien,NYM,2B,148,665,595,158,32,3,24,95,82,60,105,12,4,0.265,0.345,0.425,0.77
Andres Gimenez,TOR,2B,144,585,535,152,30,5,16,78,72,40,115,18,5,0.284,0.34,0.415,0.755
Ha-Seong Kim,ATL,2B,142,580,515,138,26,4,18,78,72,55,105,22,5,0.268,0.35,0.42,0.77
Bryson Stott,PHI,2B,145,595,545,155,28,5,15,82,72,42,115,22,6,0.284,0.345,0.415,0.76
Jordan Westburg,BAL,2B,138,575,525,142,28,3,22,78,82,42,135,10,3,0.271,0.33,0.445,0.775
Matt McLain,CIN,2B,130,555,495,135,28,4,20,75,72,52,145,18,5,0.273,0.355,0.46,0.815
Christian Walker,HOU,1B,140,595,525,138,28,2,28,82,88,58,145,8,2,0.263,0.35,0.465,0.815
Josh Naylor,SEA,1B,138,585,535,152,32,2,26,78,92,42,95,5,2,0.284,0.34,0.48,0.82
Vinnie Pasquantino,KCR,1B,142,605,545,158,32,2,24,82,90,52,85,4,2,0.29,0.365,0.47,0.835
Paul Goldschmidt,NYY,1B,135,580,505,142,28,2,22,75,78,65,150,8,2,0.281,0.375,0.445,0.82
Spencer Torkelson,DET,1B,140,590,520,135,24,2,32,78,88,62,175,2,1,0.26,0.35,0.49,0.84
Triston Casas,BOS,1B,132,565,485,128,26,2,28,78,82,72,145,2,1,0.264,0.375,0.495,0.87
Nathaniel Lowe,CIN,1B,138,590,520,150,30,2,20,78,78,62,135,3,2,0.288,0.375,0.435,0.81
Isaac Paredes,HOU,3B,140,575,505,130,22,2,26,72,85,60,105,2,1,0.257,0.355,0.465,0.82
Max Muncy,LAD,3B,135,575,475,115,22,2,32,82,88,88,175,2,1,0.242,0.37,0.505,0.875
Ryan McMahon,NYY,3B,142,595,530,135,26,3,26,78,88,55,165,5,2,0.255,0.335,0.455,0.79
Noelvi Marte,CIN,3B,130,540,500,140,26,3,22,72,82,32,120,15,5,0.28,0.33,0.465,0.795
Colson Montgomery,CHW,SS,135,575,500,125,24,3,20,72,75,65,160,8,3,0.25,0.34,0.42,0.76
CJ Abrams,WSH,SS,142,595,550,152,28,5,18,82,72,38,135,32,8,0.276,0.325,0.425,0.75
Jeremy Pena,HOU,SS,145,595,555,155,32,3,18,78,82,32,115,12,4,0.279,0.325,0.425,0.75
Will Smith,LAD,C,128,525,455,118,24,1,22,68,78,62,105,3,1,0.259,0.365,0.465,0.83
Adley Rutschman,BAL,C,130,545,475,122,26,1,20,72,82,62,110,3,1,0.257,0.36,0.435,0.795
Yainer Diaz,HOU,C,118,475,445,128,26,1,22,58,72,22,95,2,1,0.288,0.32,0.498,0.818
J.T. Realmuto,PHI,C,120,485,435,110,22,2,18,58,68,42,115,8,3,0.253,0.325,0.425,0.75
Shea Langeliers,ATH,C,125,495,440,102,20,1,24,62,72,48,145,2,1,0.232,0.318,0.458,0.776
Jonah Heim,ATL,C,115,450,405,98,20,1,16,50,62,38,95,2,1,0.242,0.31,0.405,0.715
Daulton Varsho,TOR,OF,138,575,525,135,28,4,22,75,75,42,135,12,4,0.257,0.315,0.435,0.75
Gabriel Moreno,ARI,C,110,425,390,105,20,1,14,48,58,28,85,3,1,0.269,0.325,0.415,0.74
Francisco Alvarez,NYM,C,108,410,365,85,16,1,18,48,58,40,125,2,1,0.233,0.328,0.435,0.763
Keibert Ruiz,WSH,C,120,465,425,112,22,1,14,52,62,32,65,2,1,0.263,0.32,0.405,0.725
Logan O'Hoppe,LAA,C,115,450,405,95,20,1,18,52,62,38,130,3,1,0.235,0.318,0.435,0.753
Patrick Bailey,SFG,C,118,440,395,92,18,1,14,48,55,40,115,4,2,0.233,0.318,0.395,0.713
Ryan Jeffers,MIN,C,112,425,380,88,18,1,18,50,58,38,135,2,1,0.232,0.328,0.445,0.773
Tyler Stephenson,CIN,C,120,475,425,110,22,1,16,58,68,42,115,2,1,0.259,0.34,0.415,0.755
Sean Murphy,ATL,C,115,450,395,88,18,0,18,52,62,48,140,2,1,0.223,0.325,0.405,0.73
Ivan Herrera,STL,C,108,400,355,92,18,1,12,42,48,40,95,4,2,0.259,0.355,0.4,0.755
Jordan Walker,STL,OF,128,520,480,128,24,2,22,68,75,32,155,8,3,0.267,0.325,0.452,0.777
Lars Nootbaar,STL,OF,135,545,470,125,24,3,18,75,68,68,105,8,3,0.266,0.37,0.445,0.815
Brendan Donovan,SEA,2B,138,575,510,143,28,3,14,78,68,55,95,8,3,0.28,0.365,0.415,0.78
Tommy Edman,LAD,2B,132,565,515,148,28,5,12,78,62,42,115,25,5,0.287,0.345,0.42,0.765
Nolan Gorman,STL,2B,125,510,455,105,20,2,26,68,72,48,175,4,2,0.231,0.325,0.47,0.795
Jonathan India,KCR,2B,135,585,515,135,28,2,18,82,68,62,140,12,4,0.262,0.36,0.42,0.78
Gleyber Torres,DET,2B,138,595,535,145,30,2,20,78,75,52,130,10,3,0.271,0.345,0.435,0.78
Colt Keith,DET,2B,130,545,495,142,28,2,16,72,72,42,115,6,2,0.287,0.345,0.44,0.785
Zack Gelof,ATH,2B,125,520,465,118,24,3,20,72,68,48,155,18,5,0.254,0.335,0.445,0.78
Luis Garcia,WSH,2B,135,575,535,155,32,3,14,78,72,32,95,8,3,0.29,0.335,0.425,0.76
Michael Busch,CHC,1B,135,565,495,125,24,2,28,78,85,62,175,4,2,0.253,0.355,0.485,0.84
Tyler Soderstrom,ATH,1B,128,525,470,118,24,1,24,72,78,48,165,2,1,0.251,0.33,0.47,0.8
Spencer Horwitz,PIT,1B,132,555,480,135,28,1,18,78,72,68,110,4,2,0.281,0.395,0.445,0.84
Mark Vientos,NYM,3B,128,515,465,118,22,1,26,72,82,42,145,2,1,0.254,0.335,0.485,0.82
Eugenio Suarez,ARI,3B,142,605,530,125,24,2,28,78,92,68,195,2,1,0.236,0.335,0.445,0.78
Matt Chapman,SFG,3B,148,605,535,128,28,2,26,78,88,62,185,2,1,0.239,0.335,0.445,0.78
Colton Cowser,BAL,OF,132,535,475,125,24,3,18,75,68,52,155,12,4,0.263,0.35,0.435,0.785
Sal Frelick,MIL,OF,138,565,515,155,28,4,10,82,58,42,75,18,5,0.301,0.365,0.42,0.785
Lawrence Butler,ATH,OF,135,555,495,138,26,3,22,78,78,52,155,8,3,0.279,0.355,0.475,0.83
Wilyer Abreu,BOS,OF,138,575,515,148,30,4,20,85,78,52,175,18,5,0.287,0.365,0.475,0.84
Jo Adell,LAA,OF,130,525,480,125,24,2,26,72,82,38,185,12,4,0.26,0.325,0.485,0.81
Dylan Crews,WSH,OF,128,540,485,135,26,4,18,78,72,48,135,18,5,0.278,0.355,0.455,0.81
Mike Trout,LAA,OF,105,460,395,105,20,1,28,72,72,58,145,4,2,0.266,0.375,0.515,0.89
Giancarlo Stanton,NYY,DH,115,485,425,102,16,0,38,65,88,52,165,2,1,0.24,0.33,0.525,0.855
Jorge Soler,LAA,DH,120,465,405,95,16,0,28,62,72,52,165,2,1,0.235,0.34,0.48,0.82
Ezequiel Tovar,COL,SS,145,595,565,155,32,6,18,78,78,22,135,12,4,0.274,0.31,0.435,0.745
Dansby Swanson,CHC,SS,145,610,545,138,28,3,22,78,78,55,175,8,3,0.253,0.335,0.415,0.75
Oneil Cruz,PIT,OF,132,545,490,128,24,4,22,75,75,42,185,18,5,0.261,0.325,0.465,0.79
Christian Yelich,MIL,OF,125,545,465,128,26,3,18,82,68,78,125,12,4,0.275,0.385,0.455,0.84
Teoscar Hernandez,LAD,OF,138,575,520,140,28,2,32,85,98,48,175,6,2,0.269,0.335,0.51,0.845
Lane Thomas,KCR,OF,135,560,505,135,26,3,24,78,82,48,165,12,4,0.267,0.33,0.465,0.795
Brandon Nimmo,TEX,OF,132,585,495,145,30,3,22,92,78,82,130,4,2,0.293,0.405,0.48,0.885
Ian Happ,CHC,OF,145,610,525,135,28,3,26,88,88,75,175,8,3,0.257,0.365,0.465,0.83
Steven Kwan,CLE,OF,140,605,540,175,32,4,8,95,58,52,65,18,5,0.324,0.395,0.425,0.82
Bryan Reynolds,PIT,OF,145,625,550,155,35,4,24,88,88,65,155,6,2,0.282,0.365,0.48,0.845
Seiya Suzuki,CHC,OF,135,565,495,142,30,3,22,82,82,62,140,10,3,0.287,0.375,0.48,0.855
Luis Robert Jr.,NYM,OF,125,520,480,130,24,2,28,72,82,32,155,18,5,0.271,0.325,0.51,0.835
Chas McCormick,HOU,OF,128,485,435,115,22,3,14,62,58,42,125,18,5,0.264,0.35,0.42,0.77
Leody Taveras,TEX,OF,135,515,475,128,24,5,12,68,58,32,115,22,6,0.269,0.325,0.405,0.73
Byron Buxton,MIN,OF,110,465,420,110,22,2,28,72,75,38,165,12,4,0.262,0.33,0.51,0.84
Jurickson Profar,FA,OF,132,545,475,125,24,2,18,72,72,62,115,8,3,0.263,0.365,0.42,0.785
Taylor Ward,BAL,OF,138,575,495,125,26,2,26,78,82,72,165,4,2,0.253,0.36,0.465,0.825
Heliot Ramos,SFG,OF,128,495,450,118,22,3,22,68,75,38,155,8,3,0.262,0.33,0.465,0.795
Jake McCarthy,COL,OF,125,465,425,120,22,5,8,58,48,32,95,28,7,0.282,0.345,0.395,0.74
Nolan Jones,COL,OF,120,485,425,115,24,4,16,68,68,52,165,12,4,0.271,0.37,0.45,0.82
Spencer Steer,CIN,1B,135,565,505,138,30,2,20,78,78,52,125,8,3,0.273,0.355,0.435,0.79
Tyler Freeman,COL,2B,130,540,495,145,26,3,8,68,55,38,65,12,4,0.293,0.355,0.395,0.75
Gavin Lux,TBR,2B,125,485,435,118,24,3,12,62,55,42,115,8,3,0.271,0.35,0.41,0.76
Edouard Julien,MIN,2B,115,455,385,95,18,2,16,62,55,65,155,4,2,0.247,0.375,0.43,0.805
Brandon Drury,LAA,2B,125,510,470,122,26,2,24,68,82,32,135,2,1,0.26,0.31,0.47,0.78
Thairo Estrada,SFG,2B,130,495,460,128,26,3,14,62,62,28,95,12,4,0.278,0.32,0.425,0.745
Luis Urias,SEA,3B,118,445,395,95,20,1,16,52,55,45,115,2,1,0.241,0.34,0.405,0.745
Jeimer Candelario,CIN,3B,135,555,495,125,26,2,22,72,82,50,145,4,2,0.253,0.34,0.435,0.775
Ke'Bryan Hayes,CIN,3B,138,575,525,145,28,5,12,72,62,42,115,22,5,0.276,0.335,0.405,0.74
Alec Bohm,PHI,1B,145,620,570,165,32,2,20,82,92,42,115,4,2,0.289,0.34,0.425,0.765
Joey Ortiz,MIL,SS,132,495,445,118,24,3,12,58,52,38,105,12,4,0.265,0.33,0.395,0.725
Orlando Arcia,ATL,SS,128,465,430,112,22,1,14,52,58,28,105,8,3,0.26,0.31,0.395,0.705
Amed Rosario,LAD,SS,125,480,450,132,26,4,10,58,55,22,95,12,4,0.293,0.325,0.405,0.73
Daulton Varsho,TOR,OF,138,575,525,135,28,4,22,75,75,42,135,12,4,0.257,0.315,0.435,0.75
MJ Melendez,NYM,OF,125,455,400,95,18,2,18,58,62,48,145,4,2,0.238,0.33,0.43,0.76
Joey Bart,PIT,C,112,405,355,78,15,0,18,45,52,45,145,2,1,0.22,0.34,0.425,0.765
Carson Kelly,CHC,C,105,385,335,72,14,0,14,38,45,42,110,1,0,0.215,0.335,0.385,0.72
Christian Bethancourt,FA,C,95,340,320,78,15,0,12,32,42,15,85,1,0,0.244,0.295,0.375,0.67
Yasmani Grandal,FA,C,98,355,305,68,12,0,14,38,45,45,105,1,0,0.223,0.36,0.39,0.75
Omar Narvaez,FA,C,85,295,265,58,11,0,8,28,32,28,75,1,0,0.219,0.305,0.34,0.645
Aaron Judge,NYY,OF,141,633,522,148,23,2,42,109,102,112,156,9,3,0.283,0.415,0.583,0.998
Bobby Witt Jr.,KCR,SS,140,634,575,168,33,6,28,99,89,47,106,31,7,0.293,0.351,0.519,0.87
Gunnar Henderson,BAL,SS,146,666,591,162,35,6,28,101,84,70,135,24,6,0.275,0.357,0.489,0.846
Cal Raleigh,SEA,C,138,615,545,125,20,2,38,88,91,76,163,8,3,0.23,0.331,0.487,0.818
Julio Rodriguez,SEA,OF,139,618,563,155,28,4,30,85,91,45,134,23,6,0.275,0.334,0.491,0.825
Juan Soto,NYM,OF,138,621,493,135,25,2,34,105,89,117,110,20,5,0.273,0.413,0.533,0.946
Shohei Ohtani,LAD,DH,142,658,535,147,31,3,44,120,99,91,160,22,4,0.275,0.38,0.578,0.958
Ronald Acuna Jr.,ATL,OF,147,676,588,168,29,3,31,109,84,90,135,24,8,0.286,0.388,0.503,0.891
Vladimir Guerrero Jr.,TOR,1B,143,637,565,168,35,2,32,94,99,74,87,5,2,0.297,0.383,0.531,0.914
Fernando Tatis Jr.,SDP,OF,130,579,516,142,24,3,29,86,83,63,112,21,5,0.275,0.36,0.503,0.863
Elly De La Cruz,CIN,SS,140,617,546,143,23,7,23,83,82,63,137,38,10,0.263,0.342,0.465,0.807
Francisco Lindor,NYM,SS,132,608,536,139,29,3,25,89,69,55,112,22,4,0.259,0.336,0.452,0.788
Yordan Alvarez,HOU,OF,122,551,486,145,30,1,30,90,84,70,94,4,1,0.299,0.397,0.558,0.955
Mookie Betts,LAD,SS,132,591,511,140,35,2,22,84,79,64,60,8,3,0.274,0.355,0.468,0.823
Corbin Carroll,ARI,OF,135,605,529,138,24,10,26,90,85,65,125,32,7,0.261,0.349,0.498,0.847
Ketel Marte,ARI,2B,133,601,523,146,30,3,26,90,79,65,99,6,2,0.28,0.364,0.494,0.858
Jose Ramirez,CLE,3B,136,604,527,145,33,4,27,83,88,58,72,30,6,0.275,0.349,0.492,0.841
William Contreras,MIL,C,132,586,511,138,25,1,20,74,74,69,110,6,2,0.27,0.359,0.445,0.804
Alejandro Kirk,TOR,C,107,446,389,107,20,1,14,54,56,46,55,1,0,0.274,0.353,0.433,0.786
Jackson Merrill,SDP,OF,134,586,539,145,27,6,23,76,77,39,113,7,3,0.269,0.322,0.466,0.788
Corey Seager,TEX,SS,116,515,461,127,24,1,25,72,75,56,83,3,1,0.276,0.359,0.499,0.858
Trea Turner,PHI,SS,132,609,560,157,23,4,18,86,65,40,110,26,5,0.28,0.332,0.442,0.774
Kyle Tucker,LAD,OF,125,562,478,129,22,2,27,90,78,76,85,18,4,0.269,0.371,0.496,0.867
Bo Bichette,NYM,SS,132,585,539,155,27,3,18,73,74,38,95,6,2,0.288,0.337,0.449,0.786
Geraldo Perdomo,ARI,SS,126,562,487,131,23,5,12,77,55,68,74,19,5,0.27,0.365,0.411,0.776
Junior Caminero,TBR,3B,119,522,480,130,22,1,32,71,88,36,101,5,2,0.271,0.324,0.526,0.85
Alex Bregman,CHC,3B,142,638,553,144,32,2,23,85,77,67,89,3,1,0.26,0.345,0.439,0.784
Masyn Winn,STL,SS,147,629,578,151,22,5,16,72,69,45,107,12,4,0.261,0.319,0.405,0.724
Zach Neto,LAA,SS,133,599,539,136,24,3,26,83,69,41,143,27,7,0.252,0.32,0.456,0.776
Maikel Garcia,KCR,2B,138,620,558,154,23,4,13,82,62,53,90,26,6,0.276,0.339,0.418,0.757
Matt Olson,ATL,1B,146,639,561,146,29,1,33,90,93,68,165,3,1,0.26,0.35,0.493,0.843
Pete Alonso,BAL,1B,143,615,540,139,24,1,36,87,94,65,143,3,1,0.257,0.348,0.504,0.852
Freddie Freeman,LAD,1B,143,636,559,165,35,3,24,94,87,68,119,12,4,0.295,0.378,0.472,0.85
Bryce Harper,PHI,1B,137,607,510,146,32,2,31,93,91,86,140,10,3,0.286,0.396,0.516,0.912
Rafael Devers,SFG,1B,143,630,561,155,35,2,32,91,96,60,136,5,2,0.276,0.352,0.518,0.87
Willy Adames,SFG,SS,144,618,548,142,29,2,28,84,86,58,158,8,3,0.259,0.336,0.471,0.807
Manny Machado,SDP,3B,141,613,549,149,28,2,30,85,91,55,115,5,2,0.271,0.341,0.482,0.823
Austin Riley,ATL,3B,146,630,571,155,32,2,34,88,98,51,162,2,1,0.271,0.339,0.506,0.845
Pete Crow-Armstrong,CHC,OF,138,578,532,140,24,8,18,80,72,38,135,38,9,0.263,0.308,0.42,0.728
James Wood,WSH,OF,135,595,521,145,27,5,28,92,85,65,175,18,5,0.278,0.365,0.51,0.875
Jarren Duran,BOS,OF,138,609,557,164,35,7,15,95,73,43,132,34,8,0.294,0.347,0.443,0.79
Cody Bellinger,NYY,OF,135,578,520,145,28,3,24,82,78,48,128,14,4,0.279,0.338,0.474,0.812
Riley Greene,DET,OF,138,605,540,156,31,4,24,88,82,55,158,10,4,0.289,0.357,0.461,0.818
Adolis Garcia,PHI,OF,144,618,570,148,28,3,32,87,98,38,195,18,6,0.26,0.308,0.467,0.775
Randy Arozarena,SEA,OF,142,595,524,138,27,4,24,82,85,60,155,22,7,0.263,0.348,0.45,0.798
Kyle Schwarber,PHI,OF,140,590,485,115,20,2,42,95,98,95,185,3,2,0.237,0.372,0.512,0.884
Nick Kurtz,ATH,1B,138,590,495,135,26,2,32,88,92,85,145,2,1,0.273,0.39,0.51,0.9
Wyatt Langford,TEX,OF,136,585,520,148,30,4,26,90,88,55,140,18,5,0.285,0.351,0.492,0.843
Jackson Chourio,MIL,OF,140,595,555,160,32,6,22,88,82,32,125,28,7,0.288,0.328,0.458,0.786
Roman Anthony,BOS,OF,138,585,515,152,28,5,20,88,78,60,120,22,6,0.295,0.368,0.452,0.82
Brent Rooker,ATH,OF,135,575,505,135,26,2,34,84,92,60,185,5,2,0.267,0.355,0.51,0.865
Michael Harris II,ATL,OF,132,560,525,152,28,6,18,78,75,28,145,28,6,0.29,0.321,0.452,0.773
Jazz Chisholm Jr.,NYY,2B,128,545,500,135,25,6,22,78,75,38,155,28,7,0.27,0.328,0.468,0.796
Brice Turang,MIL,2B,142,590,535,148,26,6,12,82,65,45,105,32,8,0.277,0.335,0.4,0.735
Nico Hoerner,CHC,2B,140,595,545,158,25,4,8,78,62,40,85,28,7,0.29,0.345,0.385,0.73
Ozzie Albies,ATL,2B,138,600,555,160,35,4,22,88,82,38,105,15,5,0.288,0.34,0.47,0.81
Marcus Semien,NYM,2B,148,665,595,158,32,3,24,95,82,60,105,12,4,0.265,0.345,0.425,0.77
Andres Gimenez,TOR,2B,144,585,535,152,30,5,16,78,72,40,115,18,5,0.284,0.34,0.415,0.755
Ha-Seong Kim,ATL,2B,142,580,515,138,26,4,18,78,72,55,105,22,5,0.268,0.35,0.42,0.77
Bryson Stott,PHI,2B,145,595,545,155,28,5,15,82,72,42,115,22,6,0.284,0.345,0.415,0.76
Jordan Westburg,BAL,2B,138,575,525,142,28,3,22,78,82,42,135,10,3,0.271,0.33,0.445,0.775
Matt McLain,CIN,2B,130,555,495,135,28,4,20,75,72,52,145,18,5,0.273,0.355,0.46,0.815
Christian Walker,HOU,1B,140,595,525,138,28,2,28,82,88,58,145,8,2,0.263,0.35,0.465,0.815
Josh Naylor,SEA,1B,138,585,535,152,32,2,26,78,92,42,95,5,2,0.284,0.34,0.48,0.82
Vinnie Pasquantino,KCR,1B,142,605,545,158,32,2,24,82,90,52,85,4,2,0.29,0.365,0.47,0.835
Paul Goldschmidt,NYY,1B,135,580,505,142,28,2,22,75,78,65,150,8,2,0.281,0.375,0.445,0.82
Spencer Torkelson,DET,1B,140,590,520,135,24,2,32,78,88,62,175,2,1,0.26,0.35,0.49,0.84
Triston Casas,BOS,1B,132,565,485,128,26,2,28,78,82,72,145,2,1,0.264,0.375,0.495,0.87
Nathaniel Lowe,CIN,1B,138,590,520,150,30,2,20,78,78,62,135,3,2,0.288,0.375,0.435,0.81
Isaac Paredes,HOU,3B,140,575,505,130,22,2,26,72,85,60,105,2,1,0.257,0.355,0.465,0.82
Max Muncy,LAD,3B,135,575,475,115,22,2,32,82,88,88,175,2,1,0.242,0.37,0.505,0.875
Ryan McMahon,NYY,3B,142,595,530,135,26,3,26,78,88,55,165,5,2,0.255,0.335,0.455,0.79
Noelvi Marte,CIN,3B,130,540,500,140,26,3,22,72,82,32,120,15,5,0.28,0.33,0.465,0.795
Colson Montgomery,CHW,SS,135,575,500,125,24,3,20,72,75,65,160,8,3,0.25,0.34,0.42,0.76
CJ Abrams,WSH,SS,142,595,550,152,28,5,18,82,72,38,135,32,8,0.276,0.325,0.425,0.75
Jeremy Pena,HOU,SS,145,595,555,155,32,3,18,78,82,32,115,12,4,0.279,0.325,0.425,0.75
Will Smith,LAD,C,128,525,455,118,24,1,22,68,78,62,105,3,1,0.259,0.365,0.465,0.83
Adley Rutschman,BAL,C,130,545,475,122,26,1,20,72,82,62,110,3,1,0.257,0.36,0.435,0.795
Yainer Diaz,HOU,C,118,475,445,128,26,1,22,58,72,22,95,2,1,0.288,0.32,0.498,0.818
J.T. Realmuto,PHI,C,120,485,435,110,22,2,18,58,68,42,115,8,3,0.253,0.325,0.425,0.75
Shea Langeliers,ATH,C,125,495,440,102,20,1,24,62,72,48,145,2,1,0.232,0.318,0.458,0.776
Jonah Heim,ATL,C,115,450,405,98,20,1,16,50,62,38,95,2,1,0.242,0.31,0.405,0.715
Daulton Varsho,TOR,OF,138,575,525,135,28,4,22,75,75,42,135,12,4,0.257,0.315,0.435,0.75
