﻿"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Skubal, Tarik",669373,2026,142,26.8,4.2,".264",".279",36.1,5.2,39.2,"78.341197447","93.66586234",29,52.1
"Bibee, Tanner",676440,2026,131,19.8,8.4,".348",".339",29.8,8.5,53.2,"83.822039362","96.062247419",27.5,47.2
"Martinez, Nick",607259,2026,122,16.4,6.6,".277",".340",29.8,8.5,33,"74.96759383","93.468871383",17.5,46.9
"Schlittler, Cam",693645,2026,133,30.8,3,".202",".244",33,6.8,38.6,"74.798598182","93.553653793",29.9,58.2
"Woo, Bryan",693433,2026,123,21.1,4.9,".227",".253",29.2,5.6,43.8,"76.269872","94.357649438",24.2,52.8
"Rogers, Trevor",669432,2026,122,20.5,6.6,".324",".295",33,5.7,28.4,"78.320404091","92.783846552",26.6,49.2
"Luzardo, Jesús",666200,2026,122,27,7.4,".349",".320",39.2,6.3,32.9,"74.420407949","93.029885897",32.7,46.3
"Wacha, Michael",608379,2026,123,22.8,8.1,".259",".338",33.3,9.5,45.2,"77.984572195","94.794641098",26.7,47.6
"Soriano, José",667755,2026,140,30.7,9.3,".191",".265",29.8,8.3,29.8,"76.159610244","92.639509878",33.5,45.3
"Holmes, Clay",605280,2026,120,15.8,8.3,".270",".325",25.6,5.6,42.2,"77.369005556","94.165794778",23.1,47.6
"Ray, Robbie",592662,2026,114,27.2,9.6,".296",".340",37.5,15.3,33.3,"75.675167143","93.35640913",28.9,48.2
"Elder, Bryce",693821,2026,118,24.6,7.6,".250",".263",32.1,3.8,34.6,"80.34266359","93.735499091",23.1,45.9
"Detmers, Reid",672282,2026,120,25.8,6.7,".282",".266",24.4,6.4,35.9,"77.366775789","94.127213947",29.6,50.6
